time 	S 	I 	R 	V 	E
482.00 	66.31 	483.62 	314.49 	123.61 	11.97
483.00 	66.38 	483.12 	315.07 	123.46 	11.97
484.00 	66.45 	482.63 	315.64 	123.30 	11.97
485.00 	66.52 	482.14 	316.22 	123.15 	11.97
486.00 	66.59 	481.65 	316.79 	123.00 	11.97
487.00 	66.66 	481.16 	317.36 	122.84 	11.97
488.00 	66.73 	480.68 	317.93 	122.69 	11.97
489.00 	66.80 	480.19 	318.49 	122.54 	11.97
490.00 	66.88 	479.71 	319.05 	122.39 	11.97
491.00 	66.95 	479.23 	319.61 	122.24 	11.97
492.00 	67.02 	478.75 	320.17 	122.09 	11.97
493.00 	67.09 	478.27 	320.73 	121.94 	11.97
494.00 	67.16 	477.80 	321.28 	121.79 	11.97
495.00 	67.24 	477.32 	321.83 	121.64 	11.97
496.00 	67.31 	476.85 	322.38 	121.49 	11.97
497.00 	67.38 	476.38 	322.92 	121.34 	11.98
498.00 	67.45 	475.91 	323.47 	121.19 	11.98
499.00 	67.53 	475.44 	324.01 	121.04 	11.98
500.00 	67.60 	474.98 	324.55 	120.90 	11.98
501.00 	67.67 	474.51 	325.09 	120.75 	11.98
502.00 	67.74 	474.05 	325.62 	120.60 	11.98
503.00 	67.82 	473.59 	326.15 	120.46 	11.98
504.00 	67.89 	473.13 	326.68 	120.31 	11.98
505.00 	67.96 	472.68 	327.21 	120.17 	11.98
506.00 	68.04 	472.22 	327.74 	120.02 	11.98
507.00 	68.11 	471.77 	328.26 	119.88 	11.98
508.00 	68.18 	471.32 	328.79 	119.73 	11.98
509.00 	68.26 	470.86 	329.30 	119.59 	11.99
510.00 	68.33 	470.42 	329.82 	119.45 	11.99
511.00 	68.40 	469.97 	330.34 	119.30 	11.99
512.00 	68.48 	469.52 	330.85 	119.16 	11.99
513.00 	68.55 	469.08 	331.36 	119.02 	11.99
514.00 	68.62 	468.64 	331.87 	118.88 	11.99
515.00 	68.70 	468.20 	332.38 	118.73 	11.99
516.00 	68.77 	467.76 	332.88 	118.59 	11.99
517.00 	68.85 	467.32 	333.38 	118.45 	12.00
518.00 	68.92 	466.89 	333.89 	118.31 	12.00
519.00 	68.99 	466.45 	334.38 	118.17 	12.00
520.00 	69.07 	466.02 	334.88 	118.03 	12.00
521.00 	69.14 	465.59 	335.37 	117.89 	12.00
522.00 	69.21 	465.16 	335.87 	117.75 	12.00
523.00 	69.29 	464.74 	336.36 	117.62 	12.00
524.00 	69.36 	464.31 	336.84 	117.48 	12.01
525.00 	69.44 	463.89 	337.33 	117.34 	12.01
526.00 	69.51 	463.46 	337.81 	117.20 	12.01
527.00 	69.58 	463.04 	338.30 	117.07 	12.01
528.00 	69.66 	462.63 	338.78 	116.93 	12.01
529.00 	69.73 	462.21 	339.25 	116.79 	12.01
530.00 	69.80 	461.79 	339.73 	116.66 	12.02
531.00 	69.88 	461.38 	340.20 	116.52 	12.02
532.00 	69.95 	460.97 	340.68 	116.39 	12.02
533.00 	70.02 	460.56 	341.15 	116.25 	12.02
534.00 	70.10 	460.15 	341.62 	116.12 	12.02
535.00 	70.17 	459.74 	342.08 	115.98 	12.02
536.00 	70.24 	459.33 	342.55 	115.85 	12.03
537.00 	70.32 	458.93 	343.01 	115.72 	12.03
538.00 	70.39 	458.53 	343.47 	115.58 	12.03
539.00 	70.46 	458.13 	343.93 	115.45 	12.03
540.00 	70.54 	457.73 	344.38 	115.32 	12.03
541.00 	70.61 	457.33 	344.84 	115.19 	12.03
542.00 	70.68 	456.93 	345.29 	115.06 	12.04
543.00 	70.76 	456.54 	345.74 	114.93 	12.04
544.00 	70.83 	456.14 	346.19 	114.80 	12.04
545.00 	70.90 	455.75 	346.64 	114.67 	12.04
546.00 	70.98 	455.36 	347.08 	114.54 	12.04
547.00 	71.05 	454.97 	347.53 	114.41 	12.05
548.00 	71.12 	454.59 	347.97 	114.28 	12.05
549.00 	71.19 	454.20 	348.41 	114.15 	12.05
550.00 	71.27 	453.82 	348.84 	114.02 	12.05
551.00 	71.34 	453.43 	349.28 	113.89 	12.05
552.00 	71.41 	453.05 	349.71 	113.76 	12.06
553.00 	71.48 	452.67 	350.15 	113.64 	12.06
554.00 	71.56 	452.30 	350.58 	113.51 	12.06
555.00 	71.63 	451.92 	351.01 	113.38 	12.06
556.00 	71.70 	451.55 	351.43 	113.26 	12.06
557.00 	71.77 	451.17 	351.86 	113.13 	12.07
558.00 	71.84 	450.80 	352.28 	113.00 	12.07
559.00 	71.92 	450.43 	352.70 	112.88 	12.07
560.00 	71.99 	450.06 	353.12 	112.75 	12.07
561.00 	72.06 	449.69 	353.54 	112.63 	12.07
562.00 	72.13 	449.33 	353.96 	112.51 	12.08
563.00 	72.20 	448.96 	354.37 	112.38 	12.08
564.00 	72.27 	448.60 	354.78 	112.26 	12.08
565.00 	72.35 	448.24 	355.20 	112.14 	12.08
566.00 	72.42 	447.88 	355.60 	112.01 	12.09
567.00 	72.49 	447.52 	356.01 	111.89 	12.09
568.00 	72.56 	447.17 	356.42 	111.77 	12.09
569.00 	72.63 	446.81 	356.82 	111.65 	12.09
570.00 	72.70 	446.46 	357.23 	111.52 	12.09
571.00 	72.77 	446.10 	357.63 	111.40 	12.10
572.00 	72.84 	445.75 	358.03 	111.28 	12.10
573.00 	72.91 	445.40 	358.42 	111.16 	12.10
574.00 	72.98 	445.05 	358.82 	111.04 	12.10
575.00 	73.05 	444.71 	359.21 	110.92 	12.10
576.00 	73.12 	444.36 	359.61 	110.80 	12.11
577.00 	73.19 	444.02 	360.00 	110.68 	12.11
578.00 	73.26 	443.68 	360.39 	110.57 	12.11
579.00 	73.33 	443.34 	360.77 	110.45 	12.11
580.00 	73.40 	443.00 	361.16 	110.33 	12.12
581.00 	73.47 	442.66 	361.54 	110.21 	12.12
582.00 	73.54 	442.32 	361.93 	110.09 	12.12
583.00 	73.61 	441.99 	362.31 	109.98 	12.12
584.00 	73.68 	441.65 	362.69 	109.86 	12.12
585.00 	73.75 	441.32 	363.06 	109.74 	12.13
586.00 	73.82 	440.99 	363.44 	109.63 	12.13
587.00 	73.88 	440.66 	363.82 	109.51 	12.13
588.00 	73.95 	440.33 	364.19 	109.40 	12.13
589.00 	74.02 	440.00 	364.56 	109.28 	12.14
590.00 	74.09 	439.68 	364.93 	109.17 	12.14
591.00 	74.16 	439.35 	365.30 	109.05 	12.14
592.00 	74.23 	439.03 	365.67 	108.94 	12.14
593.00 	74.29 	438.71 	366.03 	108.82 	12.14
594.00 	74.36 	438.39 	366.40 	108.71 	12.15
595.00 	74.43 	438.07 	366.76 	108.60 	12.15
596.00 	74.50 	437.75 	367.12 	108.48 	12.15
597.00 	74.56 	437.43 	367.48 	108.37 	12.15
598.00 	74.63 	437.12 	367.84 	108.26 	12.15
599.00 	74.70 	436.80 	368.19 	108.15 	12.16
600.00 	74.76 	436.49 	368.55 	108.04 	12.16
601.00 	74.83 	436.18 	368.90 	107.93 	12.16
602.00 	74.90 	435.87 	369.25 	107.81 	12.16
603.00 	74.96 	435.56 	369.60 	107.70 	12.17
604.00 	75.03 	435.25 	369.95 	107.59 	12.17
605.00 	75.10 	434.95 	370.30 	107.48 	12.17
606.00 	75.16 	434.64 	370.65 	107.37 	12.17
607.00 	75.23 	434.34 	370.99 	107.26 	12.17
608.00 	75.30 	434.04 	371.33 	107.16 	12.18
609.00 	75.36 	433.74 	371.68 	107.05 	12.18
610.00 	75.43 	433.44 	372.02 	106.94 	12.18
611.00 	75.49 	433.14 	372.35 	106.83 	12.18
612.00 	75.56 	432.84 	372.69 	106.72 	12.19
613.00 	75.62 	432.55 	373.03 	106.61 	12.19
614.00 	75.69 	432.25 	373.36 	106.51 	12.19
615.00 	75.75 	431.96 	373.70 	106.40 	12.19
616.00 	75.82 	431.67 	374.03 	106.29 	12.19
617.00 	75.88 	431.38 	374.36 	106.19 	12.20
618.00 	75.95 	431.09 	374.69 	106.08 	12.20
619.00 	76.01 	430.80 	375.01 	105.98 	12.20
620.00 	76.07 	430.51 	375.34 	105.87 	12.20
621.00 	76.14 	430.23 	375.67 	105.77 	12.21
622.00 	76.20 	429.94 	375.99 	105.66 	12.21
623.00 	76.26 	429.66 	376.31 	105.56 	12.21
624.00 	76.33 	429.38 	376.63 	105.45 	12.21
625.00 	76.39 	429.09 	376.95 	105.35 	12.21
626.00 	76.45 	428.81 	377.27 	105.24 	12.22
627.00 	76.52 	428.54 	377.59 	105.14 	12.22
628.00 	76.58 	428.26 	377.90 	105.04 	12.22
629.00 	76.64 	427.98 	378.22 	104.94 	12.22
630.00 	76.71 	427.71 	378.53 	104.83 	12.22
631.00 	76.77 	427.43 	378.84 	104.73 	12.23
632.00 	76.83 	427.16 	379.15 	104.63 	12.23
633.00 	76.89 	426.89 	379.46 	104.53 	12.23
634.00 	76.95 	426.62 	379.77 	104.43 	12.23
635.00 	77.02 	426.35 	380.07 	104.33 	12.24
636.00 	77.08 	426.08 	380.38 	104.22 	12.24
637.00 	77.14 	425.81 	380.68 	104.12 	12.24
638.00 	77.20 	425.55 	380.99 	104.02 	12.24
639.00 	77.26 	425.28 	381.29 	103.92 	12.24
640.00 	77.32 	425.02 	381.59 	103.82 	12.25
641.00 	77.38 	424.76 	381.89 	103.73 	12.25
642.00 	77.44 	424.50 	382.18 	103.63 	12.25
643.00 	77.50 	424.24 	382.48 	103.53 	12.25
644.00 	77.56 	423.98 	382.77 	103.43 	12.25
645.00 	77.63 	423.72 	383.07 	103.33 	12.26
646.00 	77.69 	423.46 	383.36 	103.23 	12.26
647.00 	77.75 	423.21 	383.65 	103.14 	12.26
648.00 	77.80 	422.95 	383.94 	103.04 	12.26
649.00 	77.86 	422.70 	384.23 	102.94 	12.26
650.00 	77.92 	422.45 	384.52 	102.85 	12.27
651.00 	77.98 	422.19 	384.81 	102.75 	12.27
652.00 	78.04 	421.94 	385.09 	102.65 	12.27
653.00 	78.10 	421.70 	385.37 	102.56 	12.27
654.00 	78.16 	421.45 	385.66 	102.46 	12.27
655.00 	78.22 	421.20 	385.94 	102.37 	12.28
656.00 	78.28 	420.95 	386.22 	102.27 	12.28
657.00 	78.34 	420.71 	386.50 	102.18 	12.28
658.00 	78.39 	420.47 	386.78 	102.08 	12.28
659.00 	78.45 	420.22 	387.05 	101.99 	12.29
660.00 	78.51 	419.98 	387.33 	101.89 	12.29
661.00 	78.57 	419.74 	387.60 	101.80 	12.29
662.00 	78.62 	419.50 	387.88 	101.71 	12.29
663.00 	78.68 	419.26 	388.15 	101.61 	12.29
664.00 	78.74 	419.02 	388.42 	101.52 	12.30
665.00 	78.80 	418.79 	388.69 	101.43 	12.30
666.00 	78.85 	418.55 	388.96 	101.33 	12.30
667.00 	78.91 	418.32 	389.23 	101.24 	12.30
668.00 	78.97 	418.08 	389.50 	101.15 	12.30
669.00 	79.02 	417.85 	389.76 	101.06 	12.31
670.00 	79.08 	417.62 	390.03 	100.97 	12.31
671.00 	79.14 	417.39 	390.29 	100.88 	12.31
672.00 	79.19 	417.16 	390.55 	100.79 	12.31
673.00 	79.25 	416.93 	390.81 	100.69 	12.31
674.00 	79.30 	416.70 	391.07 	100.60 	12.32
675.00 	79.36 	416.48 	391.33 	100.51 	12.32
676.00 	79.41 	416.25 	391.59 	100.42 	12.32
677.00 	79.47 	416.03 	391.85 	100.34 	12.32
678.00 	79.52 	415.80 	392.10 	100.25 	12.32
679.00 	79.58 	415.58 	392.36 	100.16 	12.32
680.00 	79.63 	415.36 	392.61 	100.07 	12.33
681.00 	79.69 	415.14 	392.86 	99.98 	12.33
682.00 	79.74 	414.92 	393.12 	99.89 	12.33
683.00 	79.80 	414.70 	393.37 	99.80 	12.33
684.00 	79.85 	414.48 	393.62 	99.72 	12.33
685.00 	79.90 	414.27 	393.86 	99.63 	12.34
686.00 	79.96 	414.05 	394.11 	99.54 	12.34
687.00 	80.01 	413.84 	394.36 	99.45 	12.34
688.00 	80.06 	413.62 	394.60 	99.37 	12.34
689.00 	80.12 	413.41 	394.85 	99.28 	12.34
690.00 	80.17 	413.20 	395.09 	99.19 	12.35
691.00 	80.22 	412.99 	395.33 	99.11 	12.35
692.00 	80.28 	412.78 	395.57 	99.02 	12.35
693.00 	80.33 	412.57 	395.82 	98.94 	12.35
694.00 	80.38 	412.36 	396.05 	98.85 	12.35
695.00 	80.43 	412.15 	396.29 	98.77 	12.36
696.00 	80.49 	411.94 	396.53 	98.68 	12.36
697.00 	80.54 	411.74 	396.77 	98.60 	12.36
698.00 	80.59 	411.53 	397.00 	98.51 	12.36
699.00 	80.64 	411.33 	397.24 	98.43 	12.36
700.00 	80.69 	411.13 	397.47 	98.34 	12.36
701.00 	80.75 	410.93 	397.70 	98.26 	12.37
702.00 	80.80 	410.72 	397.93 	98.18 	12.37
703.00 	80.85 	410.52 	398.16 	98.09 	12.37
704.00 	80.90 	410.32 	398.39 	98.01 	12.37
705.00 	80.95 	410.13 	398.62 	97.93 	12.37
706.00 	81.00 	409.93 	398.85 	97.85 	12.38
707.00 	81.05 	409.73 	399.08 	97.76 	12.38
708.00 	81.10 	409.54 	399.30 	97.68 	12.38
709.00 	81.15 	409.34 	399.53 	97.60 	12.38
710.00 	81.20 	409.15 	399.75 	97.52 	12.38
711.00 	81.25 	408.95 	399.97 	97.44 	12.38
712.00 	81.30 	408.76 	400.20 	97.36 	12.39
713.00 	81.35 	408.57 	400.42 	97.28 	12.39
714.00 	81.40 	408.38 	400.64 	97.20 	12.39
715.00 	81.45 	408.19 	400.86 	97.12 	12.39
716.00 	81.50 	408.00 	401.07 	97.04 	12.39
717.00 	81.55 	407.81 	401.29 	96.96 	12.40
718.00 	81.59 	407.62 	401.51 	96.88 	12.40
719.00 	81.64 	407.44 	401.72 	96.80 	12.40
720.00 	81.69 	407.25 	401.94 	96.72 	12.40
721.00 	81.74 	407.07 	402.15 	96.64 	12.40
722.00 	81.79 	406.88 	402.36 	96.56 	12.40
723.00 	81.84 	406.70 	402.58 	96.48 	12.41
724.00 	81.88 	406.52 	402.79 	96.40 	12.41
725.00 	81.93 	406.34 	403.00 	96.32 	12.41
726.00 	81.98 	406.15 	403.21 	96.25 	12.41
727.00 	82.03 	405.97 	403.42 	96.17 	12.41
728.00 	82.07 	405.80 	403.62 	96.09 	12.41
729.00 	82.12 	405.62 	403.83 	96.01 	12.42
730.00 	82.17 	405.44 	404.04 	95.94 	12.42
731.00 	82.21 	405.26 	404.24 	95.86 	12.42
732.00 	82.26 	405.09 	404.45 	95.78 	12.42
733.00 	82.31 	404.91 	404.65 	95.71 	12.42
734.00 	82.35 	404.74 	404.85 	95.63 	12.42
735.00 	82.40 	404.56 	405.05 	95.56 	12.43
736.00 	82.45 	404.39 	405.25 	95.48 	12.43
737.00 	82.49 	404.22 	405.45 	95.41 	12.43
738.00 	82.54 	404.05 	405.65 	95.33 	12.43
739.00 	82.58 	403.88 	405.85 	95.26 	12.43
740.00 	82.63 	403.71 	406.05 	95.18 	12.43
741.00 	82.67 	403.54 	406.25 	95.11 	12.44
742.00 	82.72 	403.37 	406.44 	95.03 	12.44
743.00 	82.76 	403.20 	406.64 	94.96 	12.44
744.00 	82.81 	403.03 	406.83 	94.88 	12.44
745.00 	82.85 	402.87 	407.03 	94.81 	12.44
746.00 	82.90 	402.70 	407.22 	94.74 	12.44
747.00 	82.94 	402.54 	407.41 	94.66 	12.45
748.00 	82.99 	402.37 	407.60 	94.59 	12.45
749.00 	83.03 	402.21 	407.79 	94.52 	12.45
750.00 	83.08 	402.05 	407.98 	94.44 	12.45
751.00 	83.12 	401.89 	408.17 	94.37 	12.45
752.00 	83.16 	401.73 	408.36 	94.30 	12.45
753.00 	83.21 	401.57 	408.55 	94.23 	12.46
754.00 	83.25 	401.41 	408.73 	94.16 	12.46
755.00 	83.29 	401.25 	408.92 	94.08 	12.46
756.00 	83.34 	401.09 	409.10 	94.01 	12.46
757.00 	83.38 	400.93 	409.29 	93.94 	12.46
758.00 	83.42 	400.78 	409.47 	93.87 	12.46
759.00 	83.46 	400.62 	409.65 	93.80 	12.47
760.00 	83.51 	400.46 	409.83 	93.73 	12.47
761.00 	83.55 	400.31 	410.02 	93.66 	12.47
762.00 	83.59 	400.16 	410.20 	93.59 	12.47
763.00 	83.63 	400.00 	410.38 	93.52 	12.47
764.00 	83.68 	399.85 	410.55 	93.45 	12.47
765.00 	83.72 	399.70 	410.73 	93.38 	12.47
766.00 	83.76 	399.55 	410.91 	93.31 	12.48
767.00 	83.80 	399.40 	411.09 	93.24 	12.48
768.00 	83.84 	399.25 	411.26 	93.17 	12.48
769.00 	83.88 	399.10 	411.44 	93.10 	12.48
770.00 	83.92 	398.95 	411.61 	93.03 	12.48
771.00 	83.96 	398.80 	411.79 	92.96 	12.48
772.00 	84.01 	398.65 	411.96 	92.90 	12.49
773.00 	84.05 	398.51 	412.13 	92.83 	12.49
774.00 	84.09 	398.36 	412.30 	92.76 	12.49
775.00 	84.13 	398.22 	412.47 	92.69 	12.49
776.00 	84.17 	398.07 	412.64 	92.63 	12.49
777.00 	84.21 	397.93 	412.81 	92.56 	12.49
778.00 	84.25 	397.79 	412.98 	92.49 	12.49
779.00 	84.29 	397.64 	413.15 	92.42 	12.50
780.00 	84.33 	397.50 	413.32 	92.36 	12.50
781.00 	84.37 	397.36 	413.48 	92.29 	12.50
782.00 	84.41 	397.22 	413.65 	92.22 	12.50
783.00 	84.45 	397.08 	413.82 	92.16 	12.50
784.00 	84.48 	396.94 	413.98 	92.09 	12.50
785.00 	84.52 	396.80 	414.15 	92.03 	12.50
786.00 	84.56 	396.66 	414.31 	91.96 	12.51
787.00 	84.60 	396.53 	414.47 	91.89 	12.51
788.00 	84.64 	396.39 	414.63 	91.83 	12.51
789.00 	84.68 	396.25 	414.79 	91.76 	12.51
790.00 	84.72 	396.12 	414.96 	91.70 	12.51
791.00 	84.75 	395.98 	415.12 	91.63 	12.51
792.00 	84.79 	395.85 	415.27 	91.57 	12.51
793.00 	84.83 	395.71 	415.43 	91.51 	12.52
794.00 	84.87 	395.58 	415.59 	91.44 	12.52
795.00 	84.91 	395.45 	415.75 	91.38 	12.52
796.00 	84.94 	395.32 	415.91 	91.31 	12.52
797.00 	84.98 	395.19 	416.06 	91.25 	12.52
798.00 	85.02 	395.05 	416.22 	91.19 	12.52
799.00 	85.05 	394.92 	416.37 	91.12 	12.52
800.00 	85.09 	394.80 	416.53 	91.06 	12.53
801.00 	85.13 	394.67 	416.68 	91.00 	12.53
802.00 	85.17 	394.54 	416.83 	90.94 	12.53
803.00 	85.20 	394.41 	416.99 	90.87 	12.53
804.00 	85.24 	394.28 	417.14 	90.81 	12.53
805.00 	85.27 	394.16 	417.29 	90.75 	12.53
806.00 	85.31 	394.03 	417.44 	90.69 	12.53
807.00 	85.35 	393.90 	417.59 	90.62 	12.54
808.00 	85.38 	393.78 	417.74 	90.56 	12.54
809.00 	85.42 	393.66 	417.89 	90.50 	12.54
810.00 	85.45 	393.53 	418.03 	90.44 	12.54
811.00 	85.49 	393.41 	418.18 	90.38 	12.54
812.00 	85.53 	393.29 	418.33 	90.32 	12.54
813.00 	85.56 	393.16 	418.48 	90.26 	12.54
814.00 	85.60 	393.04 	418.62 	90.20 	12.54
815.00 	85.63 	392.92 	418.77 	90.14 	12.55
816.00 	85.67 	392.80 	418.91 	90.08 	12.55
817.00 	85.70 	392.68 	419.05 	90.02 	12.55
818.00 	85.74 	392.56 	419.20 	89.96 	12.55
819.00 	85.77 	392.44 	419.34 	89.90 	12.55
820.00 	85.80 	392.33 	419.48 	89.84 	12.55
821.00 	85.84 	392.21 	419.62 	89.78 	12.55
822.00 	85.87 	392.09 	419.77 	89.72 	12.55
823.00 	85.91 	391.97 	419.91 	89.66 	12.56
824.00 	85.94 	391.86 	420.05 	89.60 	12.56
825.00 	85.97 	391.74 	420.18 	89.54 	12.56
826.00 	86.01 	391.63 	420.32 	89.48 	12.56
827.00 	86.04 	391.51 	420.46 	89.42 	12.56
828.00 	86.07 	391.40 	420.60 	89.36 	12.56
829.00 	86.11 	391.29 	420.74 	89.31 	12.56
830.00 	86.14 	391.17 	420.87 	89.25 	12.56
831.00 	86.17 	391.06 	421.01 	89.19 	12.57
832.00 	86.21 	390.95 	421.14 	89.13 	12.57
833.00 	86.24 	390.84 	421.28 	89.08 	12.57
834.00 	86.27 	390.73 	421.41 	89.02 	12.57
835.00 	86.30 	390.62 	421.55 	88.96 	12.57
836.00 	86.34 	390.51 	421.68 	88.90 	12.57
837.00 	86.37 	390.40 	421.81 	88.85 	12.57
838.00 	86.40 	390.29 	421.94 	88.79 	12.57
839.00 	86.43 	390.18 	422.08 	88.73 	12.58
840.00 	86.47 	390.07 	422.21 	88.68 	12.58
841.00 	86.50 	389.97 	422.34 	88.62 	12.58
842.00 	86.53 	389.86 	422.47 	88.57 	12.58
843.00 	86.56 	389.75 	422.60 	88.51 	12.58
844.00 	86.59 	389.65 	422.73 	88.45 	12.58
845.00 	86.62 	389.54 	422.85 	88.40 	12.58
846.00 	86.65 	389.44 	422.98 	88.34 	12.58
847.00 	86.69 	389.33 	423.11 	88.29 	12.59
848.00 	86.72 	389.23 	423.24 	88.23 	12.59
849.00 	86.75 	389.12 	423.36 	88.18 	12.59
850.00 	86.78 	389.02 	423.49 	88.12 	12.59
851.00 	86.81 	388.92 	423.61 	88.07 	12.59
852.00 	86.84 	388.82 	423.74 	88.01 	12.59
853.00 	86.87 	388.72 	423.86 	87.96 	12.59
854.00 	86.90 	388.61 	423.99 	87.90 	12.59
855.00 	86.93 	388.51 	424.11 	87.85 	12.59
856.00 	86.96 	388.41 	424.23 	87.80 	12.60
857.00 	86.99 	388.31 	424.36 	87.74 	12.60
858.00 	87.02 	388.22 	424.48 	87.69 	12.60
859.00 	87.05 	388.12 	424.60 	87.64 	12.60
860.00 	87.08 	388.02 	424.72 	87.58 	12.60
861.00 	87.11 	387.92 	424.84 	87.53 	12.60
862.00 	87.14 	387.82 	424.96 	87.48 	12.60
863.00 	87.17 	387.73 	425.08 	87.42 	12.60
864.00 	87.20 	387.63 	425.20 	87.37 	12.61
865.00 	87.23 	387.53 	425.32 	87.32 	12.61
866.00 	87.25 	387.44 	425.43 	87.27 	12.61
867.00 	87.28 	387.34 	425.55 	87.21 	12.61
868.00 	87.31 	387.25 	425.67 	87.16 	12.61
869.00 	87.34 	387.15 	425.79 	87.11 	12.61
870.00 	87.37 	387.06 	425.90 	87.06 	12.61
871.00 	87.40 	386.97 	426.02 	87.01 	12.61
872.00 	87.43 	386.87 	426.13 	86.95 	12.61
873.00 	87.45 	386.78 	426.25 	86.90 	12.61
874.00 	87.48 	386.69 	426.36 	86.85 	12.62
875.00 	87.51 	386.60 	426.48 	86.80 	12.62
876.00 	87.54 	386.51 	426.59 	86.75 	12.62
877.00 	87.56 	386.42 	426.70 	86.70 	12.62
878.00 	87.59 	386.33 	426.81 	86.65 	12.62
879.00 	87.62 	386.24 	426.93 	86.60 	12.62
880.00 	87.65 	386.15 	427.04 	86.55 	12.62
881.00 	87.67 	386.06 	427.15 	86.50 	12.62
882.00 	87.70 	385.97 	427.26 	86.45 	12.62
883.00 	87.73 	385.88 	427.37 	86.40 	12.63
884.00 	87.76 	385.79 	427.48 	86.35 	12.63
885.00 	87.78 	385.71 	427.59 	86.30 	12.63
886.00 	87.81 	385.62 	427.70 	86.25 	12.63
887.00 	87.84 	385.53 	427.81 	86.20 	12.63
888.00 	87.86 	385.45 	427.91 	86.15 	12.63
889.00 	87.89 	385.36 	428.02 	86.10 	12.63
890.00 	87.91 	385.27 	428.13 	86.05 	12.63
891.00 	87.94 	385.19 	428.23 	86.00 	12.63
892.00 	87.97 	385.11 	428.34 	85.95 	12.63
893.00 	87.99 	385.02 	428.45 	85.90 	12.64
894.00 	88.02 	384.94 	428.55 	85.85 	12.64
895.00 	88.04 	384.85 	428.66 	85.81 	12.64
896.00 	88.07 	384.77 	428.76 	85.76 	12.64
897.00 	88.10 	384.69 	428.87 	85.71 	12.64
898.00 	88.12 	384.61 	428.97 	85.66 	12.64
899.00 	88.15 	384.52 	429.07 	85.61 	12.64
900.00 	88.17 	384.44 	429.18 	85.57 	12.64
901.00 	88.20 	384.36 	429.28 	85.52 	12.64
902.00 	88.22 	384.28 	429.38 	85.47 	12.64
903.00 	88.25 	384.20 	429.48 	85.42 	12.65
904.00 	88.27 	384.12 	429.58 	85.38 	12.65
905.00 	88.30 	384.04 	429.69 	85.33 	12.65
906.00 	88.32 	383.96 	429.79 	85.28 	12.65
907.00 	88.35 	383.88 	429.89 	85.24 	12.65
908.00 	88.37 	383.80 	429.99 	85.19 	12.65
909.00 	88.40 	383.73 	430.08 	85.14 	12.65
910.00 	88.42 	383.65 	430.18 	85.10 	12.65
911.00 	88.44 	383.57 	430.28 	85.05 	12.65
912.00 	88.47 	383.49 	430.38 	85.00 	12.65
913.00 	88.49 	383.42 	430.48 	84.96 	12.66
914.00 	88.52 	383.34 	430.58 	84.91 	12.66
915.00 	88.54 	383.27 	430.67 	84.86 	12.66
916.00 	88.56 	383.19 	430.77 	84.82 	12.66
917.00 	88.59 	383.11 	430.87 	84.77 	12.66
918.00 	88.61 	383.04 	430.96 	84.73 	12.66
919.00 	88.63 	382.97 	431.06 	84.68 	12.66
920.00 	88.66 	382.89 	431.15 	84.64 	12.66
921.00 	88.68 	382.82 	431.25 	84.59 	12.66
922.00 	88.70 	382.74 	431.34 	84.55 	12.66
923.00 	88.73 	382.67 	431.44 	84.50 	12.66
924.00 	88.75 	382.60 	431.53 	84.46 	12.67
925.00 	88.77 	382.53 	431.62 	84.41 	12.67
926.00 	88.80 	382.45 	431.71 	84.37 	12.67
927.00 	88.82 	382.38 	431.81 	84.32 	12.67
928.00 	88.84 	382.31 	431.90 	84.28 	12.67
929.00 	88.86 	382.24 	431.99 	84.24 	12.67
930.00 	88.89 	382.17 	432.08 	84.19 	12.67
931.00 	88.91 	382.10 	432.17 	84.15 	12.67
932.00 	88.93 	382.03 	432.26 	84.10 	12.67
933.00 	88.95 	381.96 	432.36 	84.06 	12.67
934.00 	88.97 	381.89 	432.45 	84.02 	12.67
935.00 	89.00 	381.82 	432.53 	83.97 	12.67
936.00 	89.02 	381.75 	432.62 	83.93 	12.68
937.00 	89.04 	381.68 	432.71 	83.89 	12.68
938.00 	89.06 	381.62 	432.80 	83.84 	12.68
939.00 	89.08 	381.55 	432.89 	83.80 	12.68
940.00 	89.10 	381.48 	432.98 	83.76 	12.68
941.00 	89.13 	381.41 	433.07 	83.72 	12.68
942.00 	89.15 	381.35 	433.15 	83.67 	12.68
943.00 	89.17 	381.28 	433.24 	83.63 	12.68
944.00 	89.19 	381.21 	433.33 	83.59 	12.68
945.00 	89.21 	381.15 	433.41 	83.55 	12.68
946.00 	89.23 	381.08 	433.50 	83.50 	12.68
947.00 	89.25 	381.02 	433.58 	83.46 	12.69
948.00 	89.27 	380.95 	433.67 	83.42 	12.69
949.00 	89.29 	380.89 	433.75 	83.38 	12.69
950.00 	89.31 	380.82 	433.84 	83.34 	12.69
951.00 	89.33 	380.76 	433.92 	83.29 	12.69
952.00 	89.35 	380.70 	434.01 	83.25 	12.69
953.00 	89.38 	380.63 	434.09 	83.21 	12.69
954.00 	89.40 	380.57 	434.17 	83.17 	12.69
955.00 	89.42 	380.51 	434.26 	83.13 	12.69
956.00 	89.44 	380.44 	434.34 	83.09 	12.69
957.00 	89.46 	380.38 	434.42 	83.05 	12.69
958.00 	89.48 	380.32 	434.50 	83.01 	12.69
959.00 	89.50 	380.26 	434.58 	82.97 	12.69
960.00 	89.52 	380.20 	434.67 	82.93 	12.70
961.00 	89.54 	380.14 	434.75 	82.89 	12.70
962.00 	89.55 	380.08 	434.83 	82.84 	12.70
963.00 	89.57 	380.02 	434.91 	82.80 	12.70
